2017-10-10 12:54:19,759 0 0 0 0 -5.815330 -4.455108

2017-10-10 12:54:21,181 50 0 0 0 -5.780672 -4.347427

2017-10-10 12:54:22,719 50 50 0 0 -5.780672 -4.312118

2017-10-10 12:54:24,759 0 50 120 0 -5.815330 -4.347427

2017-10-10 12:54:26,359 -50 50 120 0 -5.780672 -4.384216

2017-10-10 12:54:28,452 -50 0 120 120 -5.815330 -4.418917

2017-10-10 12:54:30,000 -50 -50 120 120 -5.780672 -4.207882

2017-10-10 12:54:32,012 0 -50 0 120 -5.780672 -4.173686

2017-10-10 12:54:33,579 50 -50 0 120 -5.746288 -4.242350

2017-10-10 12:54:35,177 100 -50 0 120 -5.644741 -4.090468

2017-10-10 12:54:37,217 100 0 0 0 -5.712175 -4.090468

2017-10-10 12:54:38,782 100 50 0 0 -5.678327 -4.156688

2017-10-10 12:54:41,354 100 100 0 0 -5.815330 -4.294571

2017-10-10 12:54:43,434 50 100 120 0 -5.815330 -4.259687

2017-10-10 12:54:44,972 0 100 120 0 -5.780672 -4.225082

2017-10-10 12:54:46,507 -50 100 120 0 -5.850267 -4.365189

2017-10-10 12:54:48,054 -100 100 120 0 -5.885487 -4.621809

2017-10-10 12:54:50,101 -100 50 120 120 -5.885487 -4.491604

2017-10-10 12:54:51,695 -100 0 120 120 -5.850267 -4.072682

2017-10-10 12:54:53,240 -100 -50 120 120 -5.780672 -3.752024

2017-10-10 12:54:54,777 -100 -100 120 120 -5.644741 -3.410352

2017-10-10 12:54:56,939 -50 -100 0 120 -5.644741 -3.410352

2017-10-10 12:54:58,351 0 -100 0 120 -5.578339 -3.540867

2017-10-10 12:54:59,948 50 -100 0 120 -5.448505 -3.660268

2017-10-10 12:55:01,479 100 -100 0 120 -5.416644 -3.752024

2017-10-10 12:55:03,031 150 -100 0 120 -5.545515 -4.190750

2017-10-10 12:55:05,158 150 -50 0 0 -5.612995 -4.242350

2017-10-10 12:55:06,672 150 0 0 0 -5.612995 -4.473318

2017-10-10 12:55:08,205 150 50 0 0 -5.712175 -4.329736

2017-10-10 12:55:09,855 150 100 0 0 -5.815330 -4.455108

2017-10-10 12:55:11,282 150 150 0 0 -6.066003 -4.736607

2017-10-10 12:55:13,327 100 150 120 0 -6.029295 -4.678829

2017-10-10 12:55:14,923 50 150 120 0 -5.992894 -4.584208

2017-10-10 12:55:16,417 0 150 120 0 -6.066003 -4.491604

2017-10-10 12:55:18,008 -50 150 120 0 -6.103025 -4.659739

2017-10-10 12:55:19,544 -100 150 120 0 -6.140364 -4.546929

2017-10-10 12:55:21,122 -150 150 120 0 -6.254349 -3.877461

2017-10-10 12:55:23,187 -150 100 120 120 -6.216021 -3.798639

2017-10-10 12:55:24,731 -150 50 120 120 -6.140364 -3.585259

2017-10-10 12:55:26,269 -150 0 120 120 -6.029295 -3.453422

2017-10-10 12:55:27,810 -150 -50 120 120 -5.780672 -3.339503

2017-10-10 12:55:29,362 -150 -100 120 120 -5.678327 -3.482376

2017-10-10 12:55:30,944 -150 -150 120 120 -5.678327 -4.072682

2017-10-10 12:55:32,997 -100 -150 0 120 -5.678327 -4.106090

2017-10-10 12:55:34,560 -50 -150 0 120 -5.578339 -3.861582

2017-10-10 12:55:36,131 0 -150 0 120 -5.448505 -3.736596

2017-10-10 12:55:37,676 50 -150 0 120 -5.385015 -3.861582

2017-10-10 12:55:39,302 100 -150 0 120 -5.448505 -4.006629

2017-10-10 12:55:40,841 150 -150 0 120 -5.545515 -4.640733

2017-10-10 12:55:42,369 200 -150 0 120 -5.512937 -5.567370

2017-10-10 12:55:44,403 200 -100 0 0 -5.512937 -5.759355

2017-10-10 12:55:46,037 200 -50 0 0 -5.512937 -5.934598

2017-10-10 12:55:47,539 200 0 0 0 -5.612995 -5.590909

2017-10-10 12:55:49,082 200 50 0 0 -5.746288 -5.543958

2017-10-10 12:55:50,638 200 100 0 0 -5.992894 -5.567370

2017-10-10 12:55:52,207 200 150 0 0 -6.254349 -5.808707

2017-10-10 12:55:53,854 200 200 0 0 -6.451236 -6.170829

2017-10-10 12:55:56,036 150 200 120 0 -6.451236 -6.117211

2017-10-10 12:55:57,568 100 200 120 0 -6.371407 -5.662302

2017-10-10 12:55:58,957 50 200 120 0 -6.216021 -4.795165

2017-10-10 12:56:00,562 0 200 120 0 -6.216021 -4.602968

2017-10-10 12:56:02,097 -50 200 120 0 -6.254349 -4.699284

2017-10-10 12:56:03,625 -100 200 120 0 -6.371407 -4.400934

2017-10-10 12:56:05,174 -150 200 120 0 -6.451236 -3.893398

2017-10-10 12:56:06,684 -200 200 120 0 -6.451236 -3.496925

2017-10-10 12:56:08,714 -200 150 120 120 -6.491707 -3.467875

2017-10-10 12:56:10,265 -200 100 120 120 -6.491707 -3.439018

2017-10-10 12:56:11,860 -200 50 120 120 -6.332036 -3.367704

2017-10-10 12:56:13,392 -200 0 120 120 -6.140364 -3.297541

2017-10-10 12:56:14,929 -200 -50 120 120 -5.920995 -3.396089

2017-10-10 12:56:16,486 -200 -100 120 120 -5.780672 -3.767507

2017-10-10 12:56:18,051 -200 -150 120 120 -5.712175 -4.436975

2017-10-10 12:56:19,556 -200 -200 120 120 -5.746288 -5.164127

2017-10-10 12:56:21,643 -150 -200 0 120 -5.712175 -5.272436

2017-10-10 12:56:23,197 -100 -200 0 120 -5.612995 -4.955291

2017-10-10 12:56:24,754 -50 -200 0 120 -5.512937 -4.659739

2017-10-10 12:56:26,302 0 -200 0 120 -5.416644 -4.491604

2017-10-10 12:56:27,858 50 -200 0 120 -5.353614 -4.602968

2017-10-10 12:56:29,401 100 -200 0 120 -5.353614 -4.955291

2017-10-10 12:56:30,936 150 -200 0 120 -5.385015 -5.476002

2017-10-10 12:56:32,544 200 -200 0 120 -5.385015 -6.064248

2017-10-10 12:56:34,079 250 -200 0 120 -5.512937 -6.871882

2017-10-10 12:56:36,124 250 -150 0 0 -5.416644 -7.066374

2017-10-10 12:56:37,694 250 -100 0 0 -5.480601 -7.304871

2017-10-10 12:56:39,295 250 -50 0 0 -5.578339 -6.840297

2017-10-10 12:56:40,780 250 0 0 0 -5.512937 -6.536470

2017-10-10 12:56:42,367 250 50 0 0 -5.712175 -6.449318

2017-10-10 12:56:43,905 250 100 0 0 -6.029295 -6.536470

2017-10-10 12:56:45,594 250 150 0 0 -6.293019 -6.777807

2017-10-10 12:56:46,980 250 200 0 0 -6.573800 -7.269987

2017-10-10 12:56:48,579 250 250 0 0 -6.918626 -7.746907

2017-10-10 12:56:50,649 200 250 120 0 -6.873996 -7.710866

2017-10-10 12:56:52,185 150 250 120 0 -6.786087 -7.411234

2017-10-10 12:56:53,743 100 250 120 0 -6.657474 -6.307841

2017-10-10 12:56:55,290 50 250 120 0 -6.573800 -5.316527

2017-10-10 12:56:56,832 0 250 120 0 -6.532559 -4.756039

2017-10-10 12:56:58,380 -50 250 120 0 -6.532559 -4.455108

2017-10-10 12:56:59,974 -100 250 120 0 -6.573800 -4.156688

2017-10-10 12:57:01,507 -150 250 120 0 -6.573800 -3.829997

2017-10-10 12:57:03,042 -200 250 120 0 -6.699923 -3.705904

2017-10-10 12:57:04,585 -250 250 120 0 -6.786087 -4.106090

2017-10-10 12:57:06,640 -250 200 120 120 -6.829819 -4.207882

2017-10-10 12:57:08,162 -250 150 120 120 -6.786087 -4.384216

2017-10-10 12:57:09,762 -250 100 120 120 -6.615435 -4.106090

2017-10-10 12:57:11,327 -250 50 120 120 -6.491707 -3.814290

2017-10-10 12:57:12,886 -250 0 120 120 -6.332036 -3.798639

2017-10-10 12:57:14,438 -250 -50 120 120 -6.140364 -3.990271

2017-10-10 12:57:15,973 -250 -100 120 120 -5.956795 -4.455108

2017-10-10 12:57:17,706 -250 -150 120 120 -5.850267 -4.975729

2017-10-10 12:57:19,142 -250 -200 120 120 -5.850267 -5.734887

2017-10-10 12:57:20,708 -250 -250 120 120 -5.920995 -6.565914

2017-10-10 12:57:22,793 -200 -250 0 120 -5.920995 -6.655462

2017-10-10 12:57:24,350 -150 -250 0 120 -5.746288 -6.090649

